Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2020;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Total. Euros/m2 construït;4844.2
2020;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Total. Euros/m2 construït;4703.4
2020;1;10;Sant Martí;68;el Poblenou;Total. Euros/m2 construït;5050.1
2020;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Total. Euros/m2 construït;7880.6
2020;1;10;Sant Martí;70;el Besòs i el Maresme;Total. Euros/m2 construït;2902.0
2020;1;10;Sant Martí;71;Provençals del Poblenou;Total. Euros/m2 construït;4395.4
2020;1;10;Sant Martí;72;Sant Martí de Provençals;Total. Euros/m2 construït;3562.1
2020;1;10;Sant Martí;73;la Verneda i la Pau;Total. Euros/m2 construït;2494.5
2020;1;1;Ciutat Vella;1;el Raval;Nou. Euros/m2 construït;
2020;1;1;Ciutat Vella;2;el Barri Gòtic;Nou. Euros/m2 construït;6516.1
2020;1;1;Ciutat Vella;3;la Barceloneta;Nou. Euros/m2 construït;3463.4
2020;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Nou. Euros/m2 construït;7240.4
2020;1;2;Eixample;5;el Fort Pienc;Nou. Euros/m2 construït;5562.3
2020;1;2;Eixample;6;la Sagrada Família;Nou. Euros/m2 construït;
2020;1;2;Eixample;7;la Dreta de l'Eixample;Nou. Euros/m2 construït;3098.1
2020;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Nou. Euros/m2 construït;6313.6
2020;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Nou. Euros/m2 construït;4587.0
2020;1;2;Eixample;10;Sant Antoni;Nou. Euros/m2 construït;
2020;1;3;Sants-Montjuïc;11;el Poble Sec;Nou. Euros/m2 construït;
2020;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Nou. Euros/m2 construït;
2020;1;3;Sants-Montjuïc;13;la Marina de Port;Nou. Euros/m2 construït;
2020;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Nou. Euros/m2 construït;2743.6
2020;1;3;Sants-Montjuïc;15;Hostafrancs;Nou. Euros/m2 construït;2600.0
2020;1;3;Sants-Montjuïc;16;la Bordeta;Nou. Euros/m2 construït;
2020;1;3;Sants-Montjuïc;17;Sants - Badal;Nou. Euros/m2 construït;3983.6
2020;1;3;Sants-Montjuïc;18;Sants;Nou. Euros/m2 construït;5098.8
2020;1;4;Les Corts;19;les Corts;Nou. Euros/m2 construït;5292.4
2020;1;4;Les Corts;20;la Maternitat i Sant Ramon;Nou. Euros/m2 construït;4428.4
2020;1;4;Les Corts;21;Pedralbes;Nou. Euros/m2 construït;12154.2
2020;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Nou. Euros/m2 construït;
2020;1;5;Sarrià-Sant Gervasi;23;Sarrià;Nou. Euros/m2 construït;7364.2
2020;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Nou. Euros/m2 construït;
2020;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Nou. Euros/m2 construït;4851.4
2020;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Nou. Euros/m2 construït;5128.4
2020;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Nou. Euros/m2 construït;5010.3
2020;1;6;Gràcia;28;Vallcarca i els Penitents;Nou. Euros/m2 construït;3461.7
2020;1;6;Gràcia;29;el Coll;Nou. Euros/m2 construït;2268.3
2020;1;6;Gràcia;30;la Salut;Nou. Euros/m2 construït;
2020;1;6;Gràcia;31;la Vila de Gràcia;Nou. Euros/m2 construït;4480.5
2020;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Nou. Euros/m2 construït;
2020;1;7;Horta-Guinardó;33;el Baix Guinardó;Nou. Euros/m2 construït;
2020;1;7;Horta-Guinardó;34;Can Baró;Nou. Euros/m2 construït;
2020;1;7;Horta-Guinardó;35;el Guinardó;Nou. Euros/m2 construït;4152.5
2020;1;7;Horta-Guinardó;36;la Font d'en Fargues;Nou. Euros/m2 construït;2298.9
2020;1;7;Horta-Guinardó;37;el Carmel;Nou. Euros/m2 construït;2664.2
2020;1;7;Horta-Guinardó;38;la Teixonera;Nou. Euros/m2 construït;2882.6
2020;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Nou. Euros/m2 construït;
2020;1;7;Horta-Guinardó;40;Montbau;Nou. Euros/m2 construït;2988.8
2020;1;7;Horta-Guinardó;41;la Vall d'Hebron;Nou. Euros/m2 construït;3666.4
2020;1;7;Horta-Guinardó;42;la Clota;Nou. Euros/m2 construït;
2020;1;7;Horta-Guinardó;43;Horta;Nou. Euros/m2 construït;4141.6
2020;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;45;Porta;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;46;el Turó de la Peira;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;47;Can Peguera;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;48;la Guineueta;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;49;Canyelles;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;50;les Roquetes;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;51;Verdun;Nou. Euros/m2 construït;3300.0
2020;1;8;Nou Barris;52;la Prosperitat;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;53;la Trinitat Nova;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;54;Torre Baró;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;55;Ciutat Meridiana;Nou. Euros/m2 construït;
2020;1;8;Nou Barris;56;Vallbona;Nou. Euros/m2 construït;
2020;1;9;Sant Andreu;57;la Trinitat Vella;Nou. Euros/m2 construït;
2020;1;9;Sant Andreu;58;Baró de Viver;Nou. Euros/m2 construït;
2020;1;9;Sant Andreu;59;el Bon Pastor;Nou. Euros/m2 construït;
2020;1;9;Sant Andreu;60;Sant Andreu;Nou. Euros/m2 construït;3804.1
2020;1;9;Sant Andreu;61;la Sagrera;Nou. Euros/m2 construït;
2020;1;9;Sant Andreu;62;el Congrés i els Indians;Nou. Euros/m2 construït;3709.7
2020;1;9;Sant Andreu;63;Navas;Nou. Euros/m2 construït;6216.4
2020;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Nou. Euros/m2 construït;5564.5
2020;1;10;Sant Martí;65;el Clot;Nou. Euros/m2 construït;4751.4
2020;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Nou. Euros/m2 construït;
2020;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Nou. Euros/m2 construït;
2020;1;10;Sant Martí;68;el Poblenou;Nou. Euros/m2 construït;6349.2
2020;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Nou. Euros/m2 construït;
2020;1;10;Sant Martí;70;el Besòs i el Maresme;Nou. Euros/m2 construït;3909.2
2020;1;10;Sant Martí;71;Provençals del Poblenou;Nou. Euros/m2 construït;3000.0
2020;1;10;Sant Martí;72;Sant Martí de Provençals;Nou. Euros/m2 construït;3921.6
2020;1;10;Sant Martí;73;la Verneda i la Pau;Nou. Euros/m2 construït;3039.1
2020;1;1;Ciutat Vella;1;el Raval;Usat. Euros/m2 construït;3777.5
2020;1;1;Ciutat Vella;2;el Barri Gòtic;Usat. Euros/m2 construït;3574.4
2020;1;1;Ciutat Vella;3;la Barceloneta;Usat. Euros/m2 construït;5094.8
2020;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Usat. Euros/m2 construït;4180.8
2020;1;2;Eixample;5;el Fort Pienc;Usat. Euros/m2 construït;4800.1
2020;1;2;Eixample;6;la Sagrada Família;Usat. Euros/m2 construït;4563.1
2020;1;2;Eixample;7;la Dreta de l'Eixample;Usat. Euros/m2 construït;4942.1
2020;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Usat. Euros/m2 construït;4744.1
2020;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Usat. Euros/m2 construït;5228.6
2020;1;2;Eixample;10;Sant Antoni;Usat. Euros/m2 construït;4056.6
