Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Superfície_mitjana_(m2_construïts);Nombre
2022;1;3;Sants-Montjuïc;18;Sants;Habitatge usat;69.4
2022;1;4;Les Corts;19;les Corts;Habitatge usat;90.4
2022;1;4;Les Corts;20;la Maternitat i Sant Ramon;Habitatge usat;82.1
2022;1;4;Les Corts;21;Pedralbes;Habitatge usat;172.7
2022;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Habitatge usat;137.7
2022;1;5;Sarrià-Sant Gervasi;23;Sarrià;Habitatge usat;111.9
2022;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Habitatge usat;151.1
2022;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Habitatge usat;125.2
2022;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Habitatge usat;129.7
2022;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Habitatge usat;97.3
2022;1;6;Gràcia;28;Vallcarca i els Penitents;Habitatge usat;75.6
2022;1;6;Gràcia;29;el Coll;Habitatge usat;70.1
2022;1;6;Gràcia;30;la Salut;Habitatge usat;94.2
2022;1;6;Gràcia;31;la Vila de Gràcia;Habitatge usat;80.5
2022;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Habitatge usat;78.9
2022;1;7;Horta-Guinardó;33;el Baix Guinardó;Habitatge usat;73.7
2022;1;7;Horta-Guinardó;34;Can Baró;Habitatge usat;71.1
2022;1;7;Horta-Guinardó;35;el Guinardó;Habitatge usat;76.0
2022;1;7;Horta-Guinardó;36;la Font d'en Fargues;Habitatge usat;80.9
2022;1;7;Horta-Guinardó;37;el Carmel;Habitatge usat;59.1
2022;1;7;Horta-Guinardó;38;la Teixonera;Habitatge usat;68.8
2022;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Habitatge usat;61.2
2022;1;7;Horta-Guinardó;40;Montbau;Habitatge usat;61.8
2022;1;7;Horta-Guinardó;41;la Vall d'Hebron;Habitatge usat;68.5
2022;1;7;Horta-Guinardó;42;la Clota;Habitatge usat;--
2022;1;7;Horta-Guinardó;43;Horta;Habitatge usat;67.9
2022;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Habitatge usat;72.3
2022;1;8;Nou Barris;45;Porta;Habitatge usat;64.6
2022;1;8;Nou Barris;46;el Turó de la Peira;Habitatge usat;61.7
2022;1;8;Nou Barris;47;Can Peguera;Habitatge usat;46.0
