"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"530","Peyton Watson","Den","G","20.5","14","3.2","21.2","9.5","2","0","15","0.533","4","0.5","0.579","0.553","1.6","0.6","0.1","0","0.1","0.1","2.1","1.6","2.2","5.7","",""
"531","Buddy Boeheim","Det","F","23.3","2","3.4","18.7","0","0","0","0","0","3","0.333","0.5","0.5","1.5","0.5","0","0","0","0","2","1.5","2","0","",""
"532","Kendall Brown","Ind","G","19.8","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.4","94.4"
"533","Carlik Jones","Chi","G","25.2","2","11.4","15","16.4","4","0.25","4","0.25","1","0","0.2","0.222","1.5","1.5","1","0","0","0.5","3","2.5","4","4.6","63.2","115"
"534","Frank Kaminsky","Hou","F-C","29.9","6","5.9","14.8","0","4","1","4","0.25","7","0.143","0.227","0.353","1.5","1.5","1.2","0.2","0.3","0","3","2.7","4.2","9.4","110.7","116.8"
"535","Trevor Keels","Nyk","G","19.5","2","2","33.1","0","0","0","0","0","3","0.333","0.5","0.5","1.5","1","0","0","0","0","2.5","1.5","2.5","0","",""
"536","Garrison Mathews","Atl","G","26.4","2","2.9","7.3","0","0","0","0","0","1","1","1.5","1.5","1.5","0.5","0","0","0","0","2","1.5","2","0","",""
"537","Wendell Moore Jr.","Min","G","21.5","25","5.8","14.6","16.9","5","0.8","22","0.636","17","0.118","0.436","0.461","1.5","0.6","0.7","0.3","0.2","0.3","2.2","2.2","2.8","5.9","95","108.8"
"538","Markieff Morris","Dal","F","33.5","4","4.8","16.7","28.6","0","0","0","0","5","0.4","0.6","0.6","1.5","0.8","0.3","0.3","0","0.5","2.3","1.8","2.5","5.9","85.2","87.9"
"539","Davon Reed","Lal","G","27.7","4","4.9","10.3","0","4","0.25","1","1","2","0.5","0.833","0.63","1.5","0.8","0.5","0.3","0","0","2.3","2","2.8","6.9","140.8","105.8"
"540","Jordan Schakel","Was","G","24.7","2","3.1","14.1","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"541","Cole Swider","Lal","F","23.8","6","6.7","9.5","0","0","0","1","0","8","0.375","0.5","0.5","1.5","1.2","0.7","0","0","0","2.7","2.2","3.3","6.4","123.9","110.3"
"542","Matthew Dellavedova","Sac","G","32.5","27","6.6","13.1","19.5","7","0.571","19","0.316","22","0.318","0.402","0.42","1.4","0.4","1.3","0.2","0","0.4","1.8","2.7","3.1","5.5","100","110.5"
"543","Facundo Campazzo","Dal","G","32","8","6.5","14.6","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.6","110.1"
"544","Braxton Key","Det","F","26.1","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"545","Vit Krejci","Atl","G","22.7","22","5.6","11.7","12","2","0.5","11","0.545","18","0.278","0.466","0.469","1.3","0.7","0.5","0.1","0","0.2","2","1.8","2.5","5.5","103","111.3"
"546","KZ Okpala","Sac","F-G","23.9","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.4","103.1"
"547","Micah Potter","Uta","F","24.9","3","4.8","5.8","0","0","0","2","1","0","0","1","1","1.3","1","0.7","0","0","0","2.3","2","3","8.1","212","106.4"
"548","Johnny Davis","Was","G","21","13","4.7","15.1","9.8","3","1","14","0.357","4","0.25","0.361","0.414","1.2","0.6","0.2","0.1","0.1","0.2","1.8","1.4","2","4.5","86.4","96.7"
"549","Tyrese Martin","Atl","G","24","13","3.5","16.7","5.7","2","1","11","0.455","5","0.2","0.406","0.444","1.2","0.5","0","0.1","0","0.1","1.6","1.2","1.6","0","",""
"550","Jack White","Den","F","25.6","16","3.2","15.6","5.8","3","0.667","8","0.5","8","0.375","0.531","0.548","1.2","0.6","0.2","0.1","0.1","0.1","1.8","1.4","1.9","6.6","",""
"551","Kessler Edwards","Bro","F","22.6","14","5.7","16.2","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","72","115.4"
"552","Isaiah Mobley","Cle","F","23.5","8","3.3","13.7","0","0","0","6","0.5","2","0.5","0.563","0.563","1.1","1.4","0","0.1","0","0","2.5","1.1","2.5","0","",""
"553","Noah Vonleh","Bos","F","27.5","23","7.5","9.2","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","102.7","93.1"
"554","Malcolm Hill","Chi","F","27.4","5","1.8","19.3","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"555","Mfiondu Kabengele","Bos","F-C","25.6","2","7","9.4","33.3","0","0","1","1","1","0","0.5","0.5","1","2.5","0","0","0","0.5","3.5","1","3.5","0","113.6","93.7"
"556","Chima Moneke","Sac","F","27.2","2","4","26.5","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.5","97.4"
"557","JD Davison","Bos","G","20.4","7","2.6","29.2","8.3","0","0","8","0.375","3","0","0.273","0.273","0.9","0.7","0.4","0.3","0","0.1","1.6","1.3","2","9.7","",""
"558","Justin Jackson","Bos","F","27.9","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.6","107.6"
"559","Kevin Knox II","Por","F","23.6","7","4.5","12.2","0","2","1","4","0.5","4","0","0.25","0.338","0.9","0.7","0","0.1","0","0","1.6","0.9","1.6","0","90.5","104.4"
"560","Vince Williams Jr.","Mem","G","22.5","11","4.7","11.9","6.7","0","0","4","0.5","10","0.2","0.357","0.357","0.9","0.6","0.3","0.4","0.1","0.1","1.5","1.2","1.8","4.6","88.9","100.9"
"561","Kessler Edwards","Sac","F","22.6","4","7.1","9.1","0","0","0","3","0","3","0.333","0.25","0.25","0.8","1.3","0.8","0.3","0","0","2","1.5","2.8","5.3","91.4","114.8"
"562","Alex Len","Sac","C","29.7","16","3","15.7","36.7","4","0.75","9","0.556","1","0","0.5","0.553","0.8","0.9","0.3","0","0","0.4","1.8","1.1","2.1","8","",""
"563","Dereon Seabron","Nor","G","22.8","5","2.3","18.4","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"564","Thanasis Antetokounmpo","Mil","F","30.6","28","4","12.6","26.5","8","0.5","17","0.353","5","0","0.273","0.313","0.6","1","0.1","0.1","0.1","0.3","1.6","0.7","1.7","3.9","72.4","101.4"
"565","PJ Dozier","Sac","G-F","26.4","8","1.8","18.1","0","0","0","2","0.5","4","0.25","0.417","0.417","0.6","0.4","0","0.4","0","0","1","0.6","1","0","",""
"566","Vernon Carey Jr.","Was","F-C","22","11","2.6","16.6","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"567","Devon Dotson","Was","G","23.6","6","8.9","9.8","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.6","97.8"
"568","Udonis Haslem","Mia","F","42.7","6","7.6","12.5","0","2","0.5","10","0.1","2","0","0.083","0.116","0.5","1.3","0","0.2","0.2","0","1.8","0.5","1.8","0","50.9","97.5"
"569","Isaiah Todd","Was","F","21.4","4","3.2","13.8","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"570","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.3","106.8"
"571","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"572","John Butler Jr.","Por","F","20.3","9","3.4","7.2","0","0","0","1","1","4","0","0.2","0.2","0.2","0.2","0.1","0.1","0.3","0","0.4","0.3","0.6","1.9","",""
"573","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.5","92.6"
"574","Deonte Burton","Sac","G-F","29.1","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"575","Julian Champagnie","Phi","F","21.7","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"576","Michael Foster Jr.","Phi","F","20.1","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"577","Frank Jackson","Uta","G","24.8","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.3","119.6"
"578","Marko Simonovic","Chi","C","23.4","3","1.5","9.6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"579","Alondes Williams","Bro","G","23.7","1","5.3","16.8","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.7"
"580","Lindell Wigginton","Mil","G","24.9","1","0.7","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
